candidate_index,image_name,final_included,review_stage,exclusion_reason
1,b1c66a42-6f7d68ca.jpg,true,manual_review,
2,b1d7b3ac-5af8623b.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
3,b1d7b3ac-5744370e.jpg,true,manual_review,
4,b1df722f-57d21f3f.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
5,b1e8ad72-c3c79240.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
6,b1f022d3-45162c67.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
7,b1f4491b-846d8cb2.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
8,b1f4491b-09593e90.jpg,true,manual_review,
9,b1f4491b-bf7d513f.jpg,true,manual_review,
10,b1f4491b-d8d1459c.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
11,b1f85377-44885085.jpg,true,manual_review,
12,b2b32394-e46669cb.jpg,true,manual_review,
13,b3a1e72b-1f4b129d.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
14,b3a3d166-3a6a258d.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
15,b3aacff1-967c15c1.jpg,true,manual_review,
16,b3ae7668-c78f47c8.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
17,b3b64b42-403091d9.jpg,true,manual_review,
18,b3c939e3-61fb6427.jpg,true,manual_review,
19,b3d264b3-fbaef5ac.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
20,b3e0345b-20d013f8.jpg,true,manual_review,
21,b3e0345b-69069f01.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
22,b3eafc22-1064ce9e.jpg,true,manual_review,
23,b3f0cdab-d5954c9a.jpg,true,manual_review,
24,b4aa2f44-023fb7df.jpg,true,manual_review,
25,b4b07c88-3e6d65a0.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
26,b4b07c88-e71768f1.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
27,b4b581ea-93722c60.jpg,true,manual_review,
28,b4c89ab1-5c72cd7d.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
29,b4d18d1a-193e24a1.jpg,true,manual_review,
30,b4dff9f4-bcac8fae.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
31,b4e3e68f-3aa63f29.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
32,b4ec8b36-e81e510a.jpg,true,manual_review,
33,b4ecb933-08326feb.jpg,true,manual_review,
34,b4f1500e-901fb4e6.jpg,true,manual_review,
35,b5ac257d-5a34b3fa.jpg,true,manual_review,
36,b5b256fd-0c2be0a6.jpg,true,manual_review,
37,b5be77ad-b861ba83.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
38,b5cf8afa-b54535d2.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
39,b5d9531f-48222cf3.jpg,true,manual_review,
40,b5e6efc0-ac69d492.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
41,b5f057ab-791ac474.jpg,true,manual_review,
42,b5fa32f1-4e9c7d32.jpg,true,manual_review,
43,b5fc1373-94aaab40.jpg,true,manual_review,
44,b6afe56b-ec85d002.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
45,b6b6fd86-ab4d10f6.jpg,true,manual_review,
46,b6ca7400-0ed0dc64.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
47,b6cad0b4-56d2e2d9.jpg,true,manual_review,
48,b6d0b46a-ec482777.jpg,true,manual_review,
49,b6d6e4f6-cc416656.jpg,true,manual_review,
50,b6f40904-693d5d3d.jpg,true,manual_review,
51,b7a8e795-0ff55db2.jpg,true,manual_review,
52,b7a8e795-056b3c79.jpg,true,manual_review,
53,b7a9b166-341c551a.jpg,true,manual_review,
54,b7abfbea-3067ba7b.jpg,true,manual_review,
55,b7ad967b-5ffacb53.jpg,true,manual_review,
56,b7b1f657-c3290194.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
57,b7b7c088-2fda29df.jpg,true,manual_review,
58,b7b7c088-13945e4c.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
59,b7b1242b-3c255af6.jpg,true,manual_review,
60,b7ba9ad7-f89df072.jpg,true,manual_review,
61,b7bb0d6e-87e194fd.jpg,true,manual_review,
62,b7bb0d6e-552b4dd9.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
63,b7bb0d6e-1922b34d.jpg,true,manual_review,
64,b7bb0d6e-b018e560.jpg,true,manual_review,
65,b7d7713a-a58eef67.jpg,true,manual_review,
66,b7db31d1-188d4a34.jpg,true,manual_review,
67,b7db31d1-fa13a84a.jpg,true,manual_review,
68,b7e347d4-8ab9f4b5.jpg,true,manual_review,
69,b7eb7b11-2ba05f4f.jpg,true,manual_review,
70,b7edcfdc-f018989f.jpg,true,manual_review,
71,b7f75fad-1c1c419b.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
72,b7f452e4-1e8b6f3a.jpg,true,manual_review,
73,b7fd3f86-ba8bf79c.jpg,true,manual_review,
74,b8b2be1e-4c0bf0b9.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
75,b8c0d4a5-63b97dfb.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
76,b8c7c957-84df8251.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
77,b8cca913-a59e1a1b.jpg,true,manual_review,
78,b8cd6a1b-8abed2d8.jpg,true,manual_review,
79,b8da2353-61f13dfb.jpg,true,manual_review,
80,b8e06f7a-f11a9604.jpg,true,manual_review,
81,b8ef1613-c936238e.jpg,true,manual_review,
82,b8f65e48-10600b5e.jpg,true,manual_review,
83,b9d24e81-a9679e2a.jpg,true,manual_review,
84,b9e4cb3d-98ed4484.jpg,true,manual_review,
85,b9e91422-2d610458.jpg,true,manual_review,
86,b9fc97df-397f8a5d.jpg,true,manual_review,
87,b20d494a-cdebe83e.jpg,true,manual_review,
88,b24d283f-33783d1b.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
89,b25fb716-78d8d49b.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
90,b27cd403-d7616bfa.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
91,b27cd403-f2d087cc.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
92,b28cb5d3-2cf728ac.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
93,b30af183-e9209104.jpg,true,manual_review,
94,b35dac08-396cde53.jpg,true,manual_review,
95,b35f4a74-bd3dd74f.jpg,true,manual_review,
96,b36de7af-887696f9.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
97,b36de7af-ca137216.jpg,true,manual_review,
98,b37cacf7-0d3ce003.jpg,true,manual_review,
99,b38b2b6a-77f9d5e5.jpg,true,manual_review,
100,b38fb69e-5f5f73ae.jpg,true,manual_review,
101,b41b3454-e034bb74.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
102,b42df626-73f78ba9.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
103,b42df626-bee4420b.jpg,true,manual_review,
104,b42df626-e358ca4a.jpg,true,manual_review,
105,b42fdaf1-0925c561.jpg,false,manual_review,confounding_degradation_removed_during_manual_review
106,b44bcbbe-e980e271.jpg,true,manual_review,
107,b48fc70b-2ca6ed01.jpg,true,manual_review,
108,b49a272b-c52895c3.jpg,true,manual_review,
109,b50e6154-4aace8a1.jpg,true,manual_review,
110,b52e49e5-d1e36124.jpg,true,manual_review,
